"video_id","etiquette_id"
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
5,6
1,22
8,6
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
11,6
11,11
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
22,23
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
4,66
4,67
4,68
4,69
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
33,24
5,86
5,87
5,88
5,89
5,90
5,91
5,92
5,93
5,94
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
36,6
8,113
8,114
8,115
8,116
8,117
8,118
8,119
8,120
8,121
8,122
8,123
8,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
9,132
9,133
9,134
9,135
9,136
9,137
11,138
11,139
11,140
11,141
11,142
11,144
11,145
11,146
11,147
11,148
12,149
12,150
12,151
12,152
12,153
12,154
12,155
12,156
12,157
12,158
12,159
12,160
12,161
12,162
12,163
12,164
12,165
14,166
14,167
14,168
14,169
14,170
14,173
14,174
14,175
14,176
14,177
14,178
14,179
14,180
14,181
14,182
14,183
14,184
15,185
15,186
15,187
15,188
15,189
15,190
15,191
15,192
15,193
15,194
15,195
15,196
15,197
15,198
15,199
15,200
15,201
15,202
15,203
15,204
15,205
15,206
15,207
15,208
15,209
15,211
15,212
68,207
17,213
17,214
18,215
18,216
18,217
18,218
18,219
18,220
18,221
18,222
18,223
18,224
18,225
18,226
18,227
18,228
18,229
18,230
18,232
18,233
18,234
18,235
18,236
18,237
18,238
18,239
18,240
18,241
18,243
18,244
18,245
18,246
18,247
18,248
18,249
18,251
18,252
21,254
21,255
21,256
21,257
21,258
21,259
21,260
21,261
21,262
21,264
21,265
21,266
21,267
21,268
21,270
21,271
21,272
21,273
21,274
21,275
22,279
22,280
22,282
22,283
22,284
22,285
23,286
23,287
23,288
72,73
72,44
25,289
25,291
25,292
25,293
25,294
25,297
25,298
25,299
25,300
25,301
25,302
25,303
25,304
25,305
25,306
25,307
25,308
25,309
25,310
25,311
25,312
25,313
25,314
25,315
25,316
25,317
26,318
26,319
26,320
26,321
26,322
26,323
26,324
26,325
26,326
26,327
26,328
26,329
26,330
26,331
26,332
26,333
26,334
26,335
26,336
26,337
26,339
26,340
27,341
27,342
27,343
27,344
27,345
27,346
27,347
27,348
27,349
27,350
27,351
27,352
27,354
27,355
27,356
27,357
27,358
27,359
27,360
27,361
27,362
27,363
27,364
27,365
27,366
27,367
27,368
27,369
27,370
30,371
30,372
30,374
30,375
30,376
30,377
30,378
30,379
30,380
30,381
30,382
30,383
30,384
30,385
30,386
85,73
85,74
30,387
30,388
30,389
30,390
30,391
30,392
30,393
30,394
30,395
30,396
30,397
30,398
30,399
30,400
31,401
31,402
31,403
31,404
31,405
31,407
31,408
31,409
31,410
31,411
31,412
31,413
31,414
31,415
31,416
31,417
31,418
92,74
92,73
32,419
32,420
32,421
32,422
32,423
32,424
104,73
115,251
33,426
33,427
33,428
33,432
33,434
33,435
33,436
33,437
33,438
130,73
137,73
35,439
35,440
35,441
35,442
35,443
35,444
35,445
35,446
35,447
35,448
35,449
35,450
35,451
35,452
35,453
35,454
35,455
35,456
35,457
35,458
35,459
35,460
35,461
35,462
35,463
35,464
36,465
36,466
36,467
37,468
37,469
37,470
37,471
37,472
37,473
37,474
37,475
37,476
37,477
37,478
37,479
37,480
37,481
37,482
37,483
37,484
151,74
37,485
39,486
39,487
39,488
39,489
159,472
39,490
39,491
39,492
39,493
39,494
39,495
39,496
39,497
39,498
39,499
39,500
39,501
39,502
39,503
39,504
41,505
41,506
41,507
166,73
170,73
173,264
43,508
43,509
43,510
44,512
44,513
44,514
44,515
44,516
44,517
44,518
44,519
44,520
44,521
44,522
44,523
44,524
44,525
44,526
44,527
44,528
44,529
44,530
44,531
44,532
44,533
44,534
44,535
44,536
44,537
44,539
44,540
45,541
45,542
45,543
45,544
45,545
45,546
45,547
45,549
45,550
45,551
45,552
177,74
45,553
45,554
45,555
45,556
45,558
45,559
45,560
45,561
45,562
45,563
45,564
45,565
46,566
46,567
46,568
46,569
46,570
46,571
46,572
46,573
46,574
46,575
46,576
46,577
46,578
46,579
46,580
46,581
46,582
46,583
46,584
46,585
46,586
46,587
46,588
46,589
46,590
46,591
47,592
47,593
47,594
47,595
48,596
48,597
48,598
48,599
48,600
48,601
48,602
48,603
48,604
48,605
48,606
48,607
48,609
48,610
48,611
48,612
48,613
48,614
48,615
48,616
48,617
48,618
48,619
48,620
49,648
49,649
49,650
49,651
50,652
50,653
50,654
50,655
50,656
50,657
50,658
50,659
50,660
50,661
50,662
50,663
50,664
50,665
50,666
50,667
50,668
50,669
50,670
50,671
50,672
50,673
50,674
50,675
50,676
50,677
50,678
50,679
50,680
50,681
50,682
50,683
50,684
50,685
50,686
50,687
51,688
51,689
51,690
51,691
51,692
51,693
51,694
51,695
51,696
51,697
51,698
51,699
51,700
51,701
51,702
51,703
51,704
51,705
51,706
51,707
51,708
51,709
51,710
51,711
51,712
51,713
51,714
51,715
51,716
51,717
198,74
198,73
52,745
52,746
54,751
54,752
54,753
55,754
55,755
55,756
55,757
55,758
55,759
55,760
55,761
55,762
55,764
55,765
55,766
56,768
56,769
56,770
56,771
56,772
56,773
56,774
56,775
56,776
56,777
56,778
56,779
56,780
56,781
56,782
56,783
56,784
56,785
56,786
56,787
57,788
57,789
57,790
214,73
229,67
229,215
58,797
58,798
58,799
58,800
58,801
59,802
59,803
59,804
59,805
59,806
59,807
59,808
59,809
59,810
59,811
59,812
59,813
59,814
59,815
59,816
59,817
59,818
59,819
59,820
59,821
59,823
60,824
60,825
60,826
60,827
60,828
60,829
60,830
60,831
60,832
60,833
60,834
60,835
60,836
60,837
60,838
60,839
60,840
61,843
61,844
61,845
61,846
61,847
61,848
61,849
61,850
61,851
61,852
61,853
62,855
62,856
62,857
62,858
62,859
62,860
62,861
62,862
62,864
62,865
62,868
62,869
62,870
63,871
63,872
63,873
63,874
63,875
63,876
63,877
63,878
63,879
63,880
63,881
63,882
63,883
63,884
63,885
63,886
63,887
63,888
63,889
63,890
240,31
63,891
63,892
63,893
63,894
63,895
63,896
63,897
63,898
63,899
63,900
63,901
63,902
63,903
64,904
64,905
64,906
64,907
64,908
64,909
64,910
64,911
64,912
64,914
64,918
64,919
64,920
246,23
246,33
65,921
254,44
66,922
66,923
66,925
66,926
66,928
66,929
66,930
66,931
66,932
66,933
66,934
66,936
66,937
66,938
66,939
66,940
66,941
66,942
66,943
66,944
66,945
261,215
262,264
262,73
262,74
262,152
269,152
269,151
271,73
67,947
67,948
67,950
284,23
284,432
285,151
285,152
68,951
68,952
68,953
68,954
68,955
68,956
68,957
68,958
68,959
68,960
68,962
68,963
68,964
68,965
68,966
68,967
68,968
68,969
68,970
68,971
68,972
68,973
68,974
68,975
68,976
68,977
68,978
68,979
68,980
68,981
68,982
68,983
68,984
68,985
68,986
68,987
68,988
68,989
68,990
68,991
68,992
68,993
68,994
293,512
293,67
68,995
68,996
68,997
68,998
296,23
296,152
296,31
296,650
296,888
296,565
296,23
296,33
305,74
305,75
305,73
305,355
310,985
310,986
310,967
310,966
311,888
326,207
326,67
339,987
339,67
349,23
358,756
358,985
69,999
69,1000
69,1001
69,1002
69,1003
69,1004
69,1005
69,1006
69,1007
69,1008
69,1009
69,1010
69,1011
69,1012
69,1013
69,1014
69,1015
69,1016
69,1017
69,1018
69,1019
69,1020
69,1021
69,1022
69,1023
69,1024
69,1025
69,1026
69,1027
69,1028
69,1029
69,1030
69,1031
69,1033
69,1034
69,1035
69,1036
69,1037
69,1039
70,1040
70,1041
70,1042
70,1043
70,1044
70,1045
70,1046
70,1047
70,1048
70,1049
70,1050
70,1051
70,1052
70,1053
70,1054
70,1055
70,1056
70,1057
70,1058
70,1059
70,1060
70,1061
70,1062
70,1063
70,1064
70,1065
70,1066
70,1067
70,1068
71,1069
71,1070
71,1071
71,1073
71,1074
71,1076
71,1077
71,1078
71,1079
71,1080
71,1081
71,1082
71,1083
71,1084
368,74
368,73
368,986
368,985
71,1085
71,1086
72,1087
72,1088
72,1089
72,1090
72,1091
72,1092
72,1093
72,1094
72,1095
72,1096
74,1097
74,1098
74,1099
74,1100
74,1101
74,1102
74,1103
74,1104
74,1105
372,985
78,1107
78,1108
78,1109
375,73
375,74
375,1088
78,1110
78,1112
78,1113
78,1114
78,1115
78,1116
78,1117
78,1118
78,1119
78,1120
78,1121
78,1123
78,1124
78,1125
78,1126
378,985
383,73
383,983
383,1115
383,1120
383,985
385,985
385,968
385,262
385,983
385,1120
385,73
385,986
385,967
391,987
392,1089
392,74
392,73
392,985
79,1127
79,1128
79,1130
79,1131
79,1135
397,135
407,1069
407,1070
407,1071
407,985
407,1073
407,1074
407,983
407,1076
407,1077
407,1078
407,1079
407,1080
407,1081
407,1082
407,1083
407,1084
407,1085
407,1086
408,985
412,985
416,74
418,985
418,966
423,999
423,1028
423,983
423,985
424,24
424,73
424,987
424,1088
424,1021
424,1115
424,1089
424,985
424,1039
427,73
433,74
436,73
436,74
83,1137
83,1138
83,1139
83,1140
83,1141
83,1142
83,1143
83,1144
83,1146
83,1147
83,1148
83,1149
83,1150
445,74
83,1151
83,1152
83,1153
83,1154
448,73
454,73
454,1090
454,216
454,1089
84,1155
84,1156
84,1157
84,1158
84,1159
84,1160
84,1161
84,1162
84,1163
464,74
464,73
464,75
464,1079
464,1115
465,74
465,73
467,1089
467,984
468,1024
85,1164
85,1165
85,1166
85,1167
475,1023
480,412
483,74
483,73
483,75
485,125
485,985
487,207
487,74
491,1039
495,24
87,1169
87,1170
87,1171
87,1172
87,1173
500,74
89,1175
89,1176
508,74
508,73
89,1177
89,1178
89,1179
509,1011
509,790
509,73
90,1180
90,1182
90,1183
510,1034
90,1184
90,1186
90,1187
90,1188
90,1189
90,1190
90,1192
90,1193
90,1194
90,1195
90,1196
90,1197
90,1198
514,984
90,1199
90,1200
90,1201
90,1202
91,1204
91,1205
516,966
516,967
91,1206
91,1207
91,1208
91,1209
91,1210
91,1211
91,1212
91,1213
92,1216
92,1217
92,1218
92,1220
92,1221
92,1222
521,352
92,1223
92,1224
92,1225
92,1226
92,1227
522,116
92,1228
92,1230
92,1231
92,1232
523,685
92,1233
92,1234
92,1235
92,1236
92,1239
525,74
92,1241
92,1242
92,1243
92,1244
526,1089
526,73
526,1115
92,1245
92,1247
92,1248
92,1249
92,1250
92,1251
92,1252
93,1254
93,1256
93,1257
93,1258
93,1259
530,73
530,75
530,987
530,1088
530,412
93,1260
94,1261
94,1262
94,1263
531,1089
531,74
531,73
94,1264
94,1265
94,1266
94,1267
532,985
532,162
532,986
532,1039
94,1268
94,1269
94,1270
94,1271
95,1272
95,1274
95,1275
95,1276
95,1277
95,1278
95,1279
95,1280
95,1281
95,1282
95,1283
95,1284
95,1285
95,1286
95,1287
95,1288
95,1290
95,1291
95,1292
95,1293
95,1294
543,985
543,966
96,1295
96,1296
96,1297
96,1298
96,1299
96,1300
547,985
96,1301
96,1302
96,1303
548,985
548,1039
548,1115
548,73
96,1304
96,1305
96,1306
96,1307
96,1308
96,1309
96,1310
96,1311
96,1312
96,1313
96,1314
96,1315
96,1316
96,1317
98,1318
553,1211
553,1204
98,1320
98,1321
98,1322
98,1323
98,1324
98,1325
98,1326
555,985
555,987
555,1175
555,1176
555,1177
555,1178
555,1179
98,1327
98,1328
98,1329
98,1330
556,74
556,976
98,1331
98,1332
98,1333
98,1334
557,702
98,1335
98,1336
98,1337
98,1338
98,1339
98,1340
101,1341
101,1342
101,1343
101,1344
101,1345
101,1346
101,1347
101,1348
101,1349
101,1350
102,1351
102,1352
102,1353
102,1354
563,73
563,74
563,196
102,1355
102,1356
102,1357
102,1358
102,1359
102,1360
102,1361
102,1362
102,1363
102,1364
566,73
566,74
566,75
102,1365
102,1366
104,1367
104,1368
567,74
567,73
567,75
104,1369
104,1370
104,1371
104,1372
104,1373
104,1374
104,1375
104,1377
104,1378
104,1379
104,1380
104,1381
104,1382
104,1383
571,985
571,505
104,1384
104,1385
104,1386
104,1387
104,1388
104,1389
104,1390
104,1391
104,1392
104,1393
104,1394
104,1395
104,1396
104,1397
104,1399
104,1400
104,1401
104,1402
104,1403
104,1404
104,1405
104,1406
104,1407
104,1408
104,1410
104,1411
104,1412
104,1413
104,1414
105,1417
105,1418
105,1419
105,1420
105,1421
105,1422
105,1423
105,1424
105,1425
105,1426
582,965
105,1427
105,1428
105,1429
105,1430
107,1431
107,1432
107,1433
108,1434
108,1435
108,1436
108,1437
108,1438
585,207
110,1441
110,1442
110,1443
110,1444
110,1445
110,1446
